iter	RMSE
0	14.65545286
1	13.68431515
2	12.75984392
3	11.98147637
4	11.24550775
5	10.62191328
6	10.05869015
7	9.584891642
8	9.159584277
9	8.735717805
10	8.320144448
11	8.005718312
12	7.707001754
13	7.448883104
14	7.204261029
15	7.003022934
16	6.80805113
17	6.61326407
18	6.446030664
19	6.294762688
20	6.178189541
21	6.07843715
22	5.983271457
23	5.902001444
24	5.815461706
25	5.741616198
26	5.673489749
27	5.616953895
28	5.574215681
29	5.517972497
30	5.474440527
31	5.427783687
32	5.394166985
33	5.353488571
34	5.32611209
35	5.295804564
36	5.265284016
37	5.24327204
38	5.219873684
39	5.199882131
40	5.173635201
41	5.141081443
42	5.116225232
43	5.104846109
44	5.084259201
45	5.06615618
46	5.039448953
47	5.023504101
48	5.009096608
49	4.985381488
50	4.978703087
51	4.962450178
52	4.944352142
53	4.935456893
54	4.927384232
55	4.913116796
56	4.904113561
57	4.891881222
58	4.88036397
59	4.867384183
60	4.856971503
61	4.84683333
62	4.834969878
63	4.816541605
64	4.807257723
65	4.794131908
66	4.782320469
67	4.776265293
68	4.766802756
69	4.751385571
70	4.742489028
71	4.725955489
72	4.716514127
73	4.710275242
74	4.694245633
75	4.680920591
76	4.673505305
77	4.666293918
78	4.657068958
79	4.651853701
80	4.644270965
81	4.63510549
82	4.628500623
83	4.621772182
84	4.607520944
85	4.601651015
86	4.596183259
87	4.588646545
88	4.582413548
89	4.573464242
90	4.557856658
91	4.552402879
92	4.54062638
93	4.52221351
94	4.514650461
95	4.510594104
96	4.500444288
97	4.495880692
98	4.488112349
99	4.480157336
