iter	Passed	Remaining
0	2	254
1	4	227
2	6	218
3	8	214
4	11	210
5	12	196
6	14	198
7	16	192
8	18	186
9	20	180
10	21	174
11	23	168
12	24	162
13	25	157
14	26	151
15	27	146
16	28	141
17	30	136
18	31	132
19	32	128
20	33	124
21	33	119
22	34	116
23	35	113
24	36	110
25	37	107
26	38	104
27	39	101
28	40	99
29	41	97
30	42	95
31	43	92
32	44	90
33	45	88
34	46	86
35	47	84
36	48	82
37	49	80
38	50	79
39	51	77
40	52	75
41	53	73
42	54	72
43	55	70
44	56	68
45	57	67
46	58	65
47	59	64
48	60	62
49	61	61
50	61	59
51	62	58
52	63	56
53	65	55
54	66	54
55	67	52
56	68	51
57	69	50
58	70	48
59	71	47
60	72	46
61	73	45
62	74	43
63	75	42
64	77	41
65	78	40
66	79	39
67	80	37
68	81	36
69	82	35
70	83	34
71	84	32
72	86	31
73	87	30
74	88	29
75	89	28
76	89	26
77	90	25
78	91	24
79	91	22
80	92	21
81	93	20
82	93	19
83	94	17
84	94	16
85	95	15
86	96	14
87	96	13
88	97	12
89	97	10
90	98	9
91	98	8
92	99	7
93	100	6
94	100	5
95	101	4
96	102	3
97	102	2
98	103	1
99	103	0
